timestamp,markers,x,y
1755331200.500,4,513.5,646.3
1755331201.000,4,510.3,653.2
1755331201.500,4,513.7,649.9
1755331202.000,4,530.0,635.6
1755331202.500,4,548.1,654.1
1755331203.000,4,544.9,647.6
1755331203.500,4,563.8,646.4
1755331204.000,4,567.7,636.4
1755331204.500,4,583.9,648.4
1755331205.000,4,591.4,634.4
1755331205.500,4,612.2,647.1
1755331206.000,4,605.5,661.2
1755331206.500,4,617.8,632.5
1755331207.000,4,624.5,624.7
1755331207.500,4,645.6,638.6
1755331208.000,4,640.6,649.3
1755331208.500,4,642.6,643.8
1755331209.000,4,648.4,632.9
1755331209.500,4,664.4,648.4
1755331210.000,4,697.1,632.6
1755331210.500,4,698.5,632.2
1755331211.000,4,705.0,626.0
1755331211.500,4,695.4,615.8
1755331212.000,4,720.6,646.4
1755331212.500,4,728.0,622.4
1755331213.000,4,749.3,626.5
1755331213.500,4,742.9,624.6
1755331214.000,4,748.9,618.0
1755331214.500,4,746.2,622.3
1755331215.000,4,764.5,625.6
1755331215.500,4,769.7,598.5
1755331216.000,4,779.1,624.9
1755331216.500,4,783.9,601.7
1755331217.000,4,784.3,597.9
1755331217.500,4,798.1,594.3
1755331218.000,4,819.0,598.8
1755331218.500,4,814.2,609.8
1755331219.000,4,831.5,593.8
1755331219.500,4,828.0,598.5
1755331220.000,4,829.5,575.5
1755331220.500,4,841.8,593.9
1755331221.000,4,845.2,576.3
1755331221.500,4,845.4,575.9
1755331222.000,4,849.4,587.8
1755331222.500,4,868.7,579.5
1755331223.000,4,865.3,576.3
1755331223.500,4,865.0,566.9
1755331224.000,4,863.7,563.7
1755331224.500,4,890.9,567.6
1755331225.000,4,873.6,553.4
1755331225.500,4,872.7,556.6
1755331226.000,4,885.8,538.5
1755331226.500,4,889.3,541.8
1755331227.000,4,899.4,543.9
1755331227.500,4,904.0,535.2
1755331228.000,4,890.1,537.5
1755331228.500,4,902.6,535.8
1755331229.000,4,885.9,528.8
1755331229.500,4,897.3,520.0
1755331230.000,4,893.0,533.4
1755331230.500,4,895.9,508.7
1755331231.000,4,904.7,512.4
1755331231.500,4,899.3,513.5
1755331232.000,4,903.9,506.1
1755331232.500,4,907.5,501.3
1755331233.000,4,894.5,491.9
1755331233.500,4,894.6,492.3
1755331234.000,4,889.2,471.7
1755331234.500,4,897.4,471.4
1755331235.000,4,879.6,480.7
1755331235.500,4,887.9,477.4
1755331236.000,4,887.4,460.1
1755331236.500,4,879.6,460.6
1755331237.000,4,885.0,453.7
1755331237.500,4,882.3,443.6
1755331238.000,4,881.8,437.1
1755331238.500,4,877.0,452.5
1755331239.000,4,883.9,456.2
1755331239.500,4,859.1,444.1
1755331240.000,4,877.4,441.4
1755331240.500,2,,
1755331241.000,2,,
1755331241.500,2,,
1755331242.000,2,,
